DDR_A,DDR_R,DDR_N,DDR_D,DDR_C,DDR_Q,DDR_E,DDR_G,DDR_H,DDR_I,DDR_L,DDR_K,DDR_M,DDR_F,DDR_P,DDR_S,DDR_T,DDR_W,DDR_Y,DDR_V,
5.42,8.42,0.00,10.08,0.00,0.00,0.00,5.42,0.00,5.08,5.08,0.00,0.00,6.08,7.08,6.50,0.00,0.00,0.00,10.08,
0.00,0.00,16.59,5.55,0.00,10.59,10.05,9.45,0.00,0.00,12.77,7.65,16.59,20.05,9.75,10.23,18.23,15.14,11.86,0.00,
6.95,0.00,0.00,0.00,0.00,0.00,14.78,5.45,12.70,10.05,7.32,4.95,17.57,8.14,0.00,10.29,0.00,0.00,0.00,19.22,
3.82,5.69,10.08,0.00,0.00,0.00,0.00,6.15,0.00,0.00,6.92,0.00,8.00,0.00,0.00,3.58,0.00,0.00,6.92,0.00,
17.99,8.70,50.63,20.70,0.00,21.21,36.79,20.75,56.69,33.82,20.01,39.76,40.17,72.29,16.01,34.72,49.88,68.06,33.38,22.97,
24.14,10.29,17.96,17.23,13.16,0.00,21.45,56.01,41.07,54.51,23.34,11.25,59.18,11.22,35.35,23.46,33.55,0.00,33.10,11.95,
7.81,0.00,0.00,5.36,0.00,0.00,5.08,0.00,0.00,7.31,3.79,0.00,14.06,0.00,0.00,4.53,9.56,0.00,0.00,0.00,
8.50,11.48,12.48,16.28,23.28,0.00,0.00,9.90,19.53,18.53,7.97,0.00,20.66,10.13,21.91,7.11,18.23,0.00,0.00,26.41,
19.46,8.25,15.37,0.00,0.00,27.03,6.42,20.03,14.17,0.00,11.10,0.00,0.00,0.00,18.83,17.77,7.92,28.03,0.00,14.00,
16.06,5.88,11.16,0.00,0.00,0.00,17.05,8.63,15.26,0.00,4.12,0.00,0.00,8.72,6.72,8.53,0.00,0.00,0.00,7.83,
19.36,11.48,15.14,21.03,0.00,9.09,10.91,24.06,17.36,14.23,11.32,34.03,20.14,28.69,0.00,15.50,22.03,18.69,18.14,28.69,
13.65,42.83,21.42,41.81,17.06,32.01,33.99,27.57,58.97,39.96,26.40,31.99,35.06,46.56,31.89,17.43,26.58,27.17,44.30,25.36,
0.00,0.00,3.30,0.00,0.00,6.50,0.00,5.27,5.27,0.00,0.00,0.00,0.00,4.73,9.09,4.55,0.00,6.18,6.18,0.00,
7.65,13.29,9.41,10.69,0.00,0.00,0.00,15.06,0.00,15.06,7.65,5.81,0.00,7.20,11.76,7.31,0.00,0.00,0.00,10.47,
5.69,6.93,0.00,0.00,0.00,7.79,0.00,4.15,11.08,0.00,4.58,0.00,0.00,0.00,0.00,2.58,0.00,0.00,0.00,0.00,
7.65,0.00,6.31,14.28,0.00,0.00,12.72,0.00,0.00,10.28,2.64,9.39,0.00,0.00,8.72,8.12,0.00,0.00,0.00,10.28,
5.27,5.42,0.00,6.08,0.00,6.18,0.00,0.00,0.00,0.00,4.10,5.08,0.00,0.00,8.42,7.08,0.00,0.00,0.00,0.00,
19.71,8.39,16.11,12.56,0.00,12.74,16.30,0.00,17.03,20.46,5.50,17.14,0.00,28.69,0.00,18.00,28.69,0.00,16.29,0.00,
5.08,5.08,0.00,5.42,0.00,0.00,0.00,6.08,10.08,8.42,2.50,0.00,0.00,0.00,10.08,6.18,0.00,0.00,0.00,0.00,
0.00,6.18,4.73,0.00,0.00,0.00,0.00,3.56,7.45,2.70,9.09,0.00,7.45,0.00,0.00,0.00,0.00,0.00,0.00,6.18,
30.36,12.50,13.38,9.21,0.00,18.69,0.00,22.91,34.03,27.14,10.91,8.44,0.00,12.74,0.00,10.91,11.33,19.36,17.54,18.14,
7.07,7.07,0.00,9.87,0.00,0.00,0.00,5.50,6.67,7.73,0.00,0.00,0.00,5.38,0.00,4.08,0.00,0.00,0.00,9.87,
7.73,11.33,4.93,0.00,0.00,0.00,11.33,13.07,0.00,4.15,6.67,4.64,0.00,8.67,9.87,0.00,7.73,0.00,0.00,0.00,
0.00,0.00,14.06,7.20,0.00,14.06,0.00,6.27,12.31,7.81,5.60,0.00,0.00,9.56,0.00,4.50,4.93,0.00,0.00,0.00,
11.55,12.77,6.76,8.76,0.00,8.67,0.00,9.90,0.00,15.14,13.86,0.00,7.33,10.05,16.59,12.95,0.00,0.00,6.38,0.00,
0.00,14.73,17.79,10.34,0.00,16.16,0.00,16.15,0.00,0.00,19.39,13.52,0.00,10.53,10.90,21.09,11.68,21.32,11.33,11.34,
12.56,12.24,9.92,0.00,0.00,0.00,12.24,4.95,0.00,0.00,9.38,13.52,0.00,18.46,0.00,10.80,20.50,0.00,12.19,24.04,
0.00,14.06,0.00,7.81,0.00,0.00,7.06,14.06,10.81,6.53,7.31,0.00,0.00,8.67,5.21,7.81,7.06,0.00,9.56,0.00,
0.00,0.00,7.50,6.67,0.00,0.00,0.00,10.36,0.00,11.33,6.67,0.00,3.23,13.07,6.53,4.79,0.00,0.00,7.73,0.00,
7.31,7.06,7.06,0.00,0.00,12.31,0.00,4.53,14.06,0.00,7.73,0.00,0.00,0.00,9.56,4.64,14.06,0.00,10.81,12.31,
0.00,5.30,0.00,0.00,0.00,9.09,0.00,3.50,0.00,6.18,0.00,0.00,0.00,0.00,1.71,0.00,0.00,0.00,0.00,0.00,
16.96,43.69,31.43,13.96,33.22,22.23,18.86,20.01,0.00,29.52,11.04,10.27,33.73,74.97,31.49,19.23,0.00,45.10,30.94,37.40,
3.58,5.54,11.08,5.69,0.00,0.00,0.00,8.00,0.00,0.00,3.75,0.00,0.00,6.15,9.38,6.92,11.08,0.00,0.00,9.38,
0.00,0.00,0.00,4.10,0.00,8.10,0.00,4.55,5.27,0.00,0.00,0.00,0.00,6.50,0.00,4.73,4.73,0.00,5.27,0.00,
8.53,15.26,6.94,9.47,0.00,10.21,8.95,6.50,0.00,0.00,11.17,0.00,0.00,4.00,12.32,12.32,17.05,0.00,0.00,0.00,
13.15,6.91,0.00,0.00,10.91,0.00,16.30,9.84,16.15,0.00,10.73,18.57,21.14,16.51,15.09,27.71,20.74,26.17,0.00,13.15,
0.00,4.07,7.85,0.00,0.00,0.00,7.73,2.92,0.00,6.53,0.00,0.00,0.00,8.67,6.67,0.00,0.00,0.00,6.36,11.33,
0.00,12.21,22.91,13.09,27.23,25.65,13.36,20.47,43.88,26.59,15.15,14.41,0.00,37.80,20.23,70.74,37.39,65.77,22.35,16.60,
0.00,9.09,0.00,0.00,0.00,0.00,7.45,2.00,0.00,0.00,6.18,0.00,0.00,4.73,0.00,7.45,9.09,0.00,4.73,5.27,
9.38,0.00,0.00,0.00,0.00,0.00,4.22,0.00,6.92,0.00,0.00,6.92,0.00,6.15,8.00,5.42,0.00,0.00,0.00,9.38,
16.79,20.31,74.27,22.52,37.20,21.41,17.19,31.51,55.39,17.48,19.54,14.71,45.33,77.69,22.55,25.29,69.48,0.00,30.78,18.38,
6.93,0.00,8.93,4.93,0.00,0.00,0.00,3.85,0.00,0.00,7.73,0.00,0.00,4.62,0.00,4.79,0.00,0.00,0.00,0.00,
19.36,9.68,34.03,10.50,0.00,0.00,0.00,20.14,0.00,0.00,11.10,16.51,20.14,11.70,8.47,11.54,11.09,0.00,0.00,18.14,
5.27,10.17,0.00,20.89,0.00,11.83,0.00,16.84,15.10,25.42,12.83,0.00,0.00,29.03,9.66,11.50,16.03,0.00,10.76,0.00,
23.51,9.17,18.84,21.91,0.00,16.75,0.00,10.67,47.21,13.11,25.32,23.37,34.66,68.01,17.66,18.14,28.14,62.36,28.41,23.60,
7.78,24.18,0.00,23.45,0.00,12.39,3.86,27.03,16.00,14.14,4.56,14.14,0.00,0.00,27.03,14.68,0.00,0.00,0.00,14.62,
6.34,35.03,20.16,0.00,0.00,17.66,6.91,11.83,0.00,0.00,12.40,0.00,0.00,0.00,10.24,8.57,0.00,21.89,0.00,8.79,
0.00,0.00,5.75,0.00,0.00,5.08,7.79,0.00,0.00,12.07,10.36,0.00,0.00,0.00,7.79,4.42,0.00,0.00,6.07,8.93,
0.00,4.15,0.00,6.07,0.00,7.79,0.00,6.92,8.93,6.36,0.00,0.00,6.93,9.38,0.00,6.93,0.00,0.00,0.00,6.07,
13.25,0.00,0.00,6.63,5.76,9.25,12.05,18.05,0.00,9.65,8.63,0.00,0.00,0.00,9.05,0.00,7.89,0.00,16.25,8.17,
14.35,22.19,14.26,12.96,0.00,0.00,12.50,12.04,0.00,12.80,0.00,5.13,8.72,11.84,20.50,14.21,14.96,0.00,0.00,18.96,
19.19,11.95,0.00,11.19,0.00,7.19,21.78,14.61,28.56,0.00,11.25,21.79,21.03,32.34,13.76,17.71,0.00,0.00,14.49,10.03,
8.79,8.93,0.00,0.00,0.00,0.00,9.87,6.53,0.00,0.00,0.00,11.33,0.00,5.50,3.58,0.00,7.07,0.00,0.00,7.73,
8.65,11.75,10.38,7.45,0.00,0.00,17.24,11.05,0.00,0.00,6.65,9.52,0.00,12.05,0.00,2.67,0.00,0.00,0.00,0.00,
7.45,7.08,0.00,0.00,0.00,0.00,10.08,5.27,0.00,5.08,5.42,0.00,0.00,5.42,4.18,0.00,0.00,0.00,0.00,8.42,
40.52,22.51,19.45,22.63,0.00,28.21,0.00,10.53,16.30,21.07,13.60,12.05,26.77,17.80,15.87,12.69,0.00,24.04,20.17,21.36,
11.88,31.14,10.48,21.14,0.00,0.00,25.21,0.00,0.00,17.43,23.94,7.42,11.62,26.74,6.97,20.26,29.37,20.17,0.00,11.39,
0.00,7.31,7.81,0.00,0.00,0.00,0.00,6.27,0.00,0.00,7.53,0.00,11.76,4.81,4.79,10.47,0.00,0.00,13.29,0.00,
12.00,0.00,24.43,14.58,9.50,20.97,0.00,7.18,13.77,0.00,7.82,29.03,0.00,21.37,11.79,9.77,0.00,0.00,12.63,10.50,
6.67,13.07,11.33,8.67,0.00,0.00,0.00,3.25,0.00,0.00,6.36,0.00,0.00,7.73,0.00,5.69,7.07,0.00,0.00,0.00,
13.15,35.03,28.11,0.00,0.00,19.92,6.91,12.31,0.00,0.00,9.50,0.00,31.35,0.00,11.03,12.00,12.25,21.89,0.00,15.60,
0.00,7.31,6.93,12.31,0.00,9.56,10.81,0.00,0.00,8.67,5.36,0.00,10.81,0.00,8.56,6.53,0.00,0.00,0.00,0.00,
16.31,19.43,0.00,31.75,12.08,0.00,35.76,22.38,0.00,42.55,14.29,18.24,24.24,24.83,19.79,21.28,19.28,0.00,41.05,45.75,
7.73,7.06,10.81,10.81,0.00,9.56,6.53,0.00,0.00,0.00,12.31,0.00,8.56,0.00,0.00,4.67,0.00,0.00,5.73,4.40,
20.35,21.41,27.59,35.44,20.10,26.02,10.89,6.59,16.35,0.00,25.35,0.00,15.74,39.84,12.11,12.21,16.60,38.24,45.10,9.63,
17.79,0.00,18.57,10.91,8.85,14.26,18.55,14.26,9.09,0.00,11.38,12.15,0.00,0.00,16.03,16.74,26.74,0.00,19.31,17.94,
0.00,0.00,0.00,4.73,0.00,5.08,8.42,7.08,0.00,0.00,8.42,6.08,10.08,5.42,4.91,0.00,0.00,0.00,0.00,6.08,
7.45,0.00,6.18,0.00,0.00,2.90,0.00,6.18,0.00,0.00,4.73,3.50,0.00,0.00,0.00,9.09,0.00,4.50,0.00,0.00,
12.75,16.00,0.00,6.27,0.00,0.00,23.45,21.86,27.03,0.00,10.61,12.22,0.00,11.46,0.00,6.56,17.89,0.00,9.26,9.32,
19.94,12.63,17.54,15.52,13.16,37.30,29.32,56.01,41.68,68.07,12.90,49.94,41.19,21.33,0.00,21.43,32.28,0.00,12.44,13.34,
9.70,19.57,22.08,15.96,0.00,35.57,14.82,22.47,12.94,26.17,7.98,27.69,27.41,27.69,15.70,39.63,0.00,24.04,19.73,0.00,
0.00,10.36,0.00,4.00,0.00,6.93,0.00,5.42,7.79,0.00,0.00,0.00,8.93,5.69,0.00,0.00,0.00,0.00,6.36,0.00,
16.59,8.86,9.24,0.00,0.00,0.00,12.77,9.24,11.14,0.00,6.76,0.00,0.00,0.00,4.65,14.65,17.24,0.00,7.52,11.86,
22.19,12.04,5.05,24.04,0.00,22.19,12.80,9.20,17.58,11.60,0.00,16.35,12.19,13.58,8.54,11.12,18.96,0.00,12.96,0.00,
0.00,9.04,23.19,0.00,0.00,5.79,0.00,2.35,0.00,0.00,0.00,0.00,15.18,5.04,0.00,15.18,0.00,0.00,0.00,0.00,
11.03,0.00,0.00,12.45,0.00,12.19,17.77,10.52,0.00,0.00,6.90,15.03,27.39,31.03,9.94,15.76,17.70,14.78,12.91,0.00,
17.70,11.04,49.88,22.20,0.00,19.53,38.94,15.42,24.23,29.95,21.37,26.16,41.01,71.33,28.67,14.73,90.05,67.12,32.79,26.54,
6.92,4.42,8.00,0.00,0.00,11.08,6.92,5.54,0.00,0.00,0.00,0.00,0.00,5.69,0.00,5.69,8.00,0.00,6.08,9.38,
24.69,19.61,0.00,20.62,40.73,25.94,10.03,19.90,34.93,22.10,9.81,45.58,0.00,39.35,21.96,7.89,30.39,66.18,0.00,0.00,
15.09,17.35,22.34,38.73,0.00,21.93,8.00,28.75,49.44,23.09,12.83,0.00,21.64,27.65,10.71,12.04,0.00,28.39,0.00,27.96,
7.93,18.72,0.00,15.95,0.00,17.74,40.52,17.31,40.52,37.27,7.88,14.20,23.52,0.00,27.87,19.76,18.26,0.00,18.00,27.19,
16.09,12.96,17.58,14.35,6.87,13.58,0.00,12.04,13.52,0.00,7.83,0.00,0.00,0.00,14.00,9.92,12.56,0.00,13.58,0.00,
9.56,18.18,13.11,6.27,0.00,20.89,5.68,19.46,0.00,0.00,5.54,0.00,26.04,0.00,19.78,8.40,13.04,0.00,0.00,20.89,
21.27,21.14,40.16,36.62,19.92,17.14,42.25,34.31,62.74,19.57,14.62,12.21,59.82,26.46,19.40,27.06,18.09,53.48,29.80,16.33,
5.60,14.28,0.00,11.76,0.00,0.00,0.00,4.69,0.00,0.00,8.72,0.00,0.00,10.28,6.47,8.28,10.28,9.39,0.00,16.06,
7.41,16.16,0.00,24.12,0.00,13.60,12.30,27.79,25.79,18.90,7.16,21.63,29.25,0.00,14.66,22.42,0.00,0.00,31.02,21.10,
6.36,12.07,10.36,0.00,0.00,0.00,0.00,4.75,0.00,0.00,0.00,6.92,0.00,6.93,6.07,0.00,6.62,0.00,7.79,6.07,
0.00,4.10,9.09,0.00,0.00,5.30,0.00,5.27,0.00,0.00,0.00,0.00,7.45,6.18,0.00,4.55,0.00,6.18,4.73,0.00,
8.53,6.71,10.21,0.00,0.00,0.00,17.05,8.95,0.00,17.05,6.47,12.61,9.47,8.63,7.83,0.00,11.16,0.00,12.32,0.00,
21.83,9.17,35.22,25.80,0.00,16.75,41.79,10.67,47.21,21.46,14.95,23.37,59.48,22.66,30.47,15.05,17.07,62.36,28.41,34.09,
0.00,4.08,0.00,0.00,0.00,0.00,11.08,6.50,0.00,0.00,4.75,0.00,0.00,5.69,0.00,3.09,0.00,0.00,0.00,0.00,
12.77,0.00,8.38,12.77,0.00,11.14,0.00,5.75,0.00,0.00,8.00,9.24,0.00,10.23,11.86,5.17,16.59,8.00,0.00,0.00,
9.17,54.99,31.43,13.93,43.01,42.74,16.48,15.26,0.00,28.70,11.04,11.01,42.71,74.97,31.49,52.45,54.64,45.10,30.94,36.76,
0.00,6.77,0.00,0.00,0.00,0.00,0.00,1.58,0.00,0.00,0.00,0.00,11.30,0.00,11.91,0.00,0.00,19.22,2.61,0.00,
15.62,11.75,10.38,7.45,0.00,0.00,17.24,11.05,0.00,0.00,9.62,9.52,0.00,11.90,14.19,2.93,11.90,0.00,19.05,0.00,
5.08,0.00,8.00,5.69,0.00,0.00,11.08,3.82,0.00,0.00,5.75,0.00,0.00,6.92,0.00,6.92,0.00,0.00,0.00,0.00,
7.07,0.00,6.67,4.92,0.00,0.00,3.09,4.31,0.00,0.00,8.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
8.63,6.41,20.71,0.00,0.00,17.23,0.00,14.30,0.00,12.84,15.50,15.16,16.91,13.61,8.90,12.43,16.28,18.26,0.00,0.00,
11.42,11.27,15.18,0.00,0.00,8.12,0.00,5.21,16.04,20.89,6.38,0.00,26.04,0.00,20.42,13.89,24.18,0.00,0.00,0.00,
0.00,7.45,0.00,0.00,0.00,0.00,0.00,5.30,0.00,4.55,4.73,0.00,0.00,5.27,4.10,6.50,0.00,0.00,0.00,9.09,
11.14,7.05,0.00,10.61,0.00,0.00,5.16,6.65,0.00,0.00,0.00,19.22,0.00,0.00,9.33,12.70,12.70,0.00,0.00,0.00,
8.48,12.07,9.81,0.00,13.19,0.00,13.46,13.18,0.00,0.00,0.00,8.42,16.04,14.58,13.26,18.81,19.78,17.04,0.00,0.00,
19.36,29.31,23.14,9.09,0.00,10.00,17.69,19.71,0.00,17.03,8.55,25.69,0.00,16.74,13.41,0.00,26.17,0.00,9.15,12.32,
16.06,8.06,0.00,0.00,0.00,0.00,8.72,14.28,0.00,0.00,8.00,8.06,0.00,12.72,8.72,5.06,0.00,0.00,3.47,5.29,
8.28,7.41,8.12,0.00,0.00,0.00,8.59,0.00,0.00,0.00,8.06,8.06,12.72,11.76,0.00,4.67,14.28,0.00,0.00,12.72,
0.00,8.03,9.48,0.00,11.94,0.00,17.79,5.10,0.00,13.41,16.38,25.76,28.38,13.53,0.00,7.93,0.00,16.03,0.00,0.00,
6.08,0.00,6.07,8.93,0.00,6.36,10.36,6.07,0.00,10.36,6.92,0.00,0.00,0.00,7.79,7.79,0.00,0.00,8.93,0.00,
0.00,7.45,0.00,4.73,0.00,5.27,0.00,0.00,0.00,0.00,0.00,0.00,6.18,5.30,7.45,4.10,6.50,0.00,0.00,0.00,
7.08,3.45,0.00,5.42,0.00,0.00,0.00,4.73,0.00,0.00,6.00,0.00,0.00,6.08,8.42,10.08,0.00,0.00,0.00,5.08,
11.76,8.00,7.65,0.00,0.00,0.00,0.00,7.53,8.59,0.00,9.41,10.47,4.81,9.41,13.29,3.79,0.00,0.00,0.00,12.31,
12.07,6.07,12.07,5.54,0.00,0.00,7.79,5.54,0.00,6.93,0.00,0.00,0.00,7.85,7.79,6.07,0.00,0.00,0.00,6.93,
4.15,9.38,0.00,0.00,0.00,0.00,6.93,0.00,0.00,0.00,5.69,8.93,6.36,12.07,0.00,5.42,7.79,0.00,0.00,0.00,
11.65,0.00,10.65,9.90,0.00,0.00,14.19,4.83,0.00,7.75,3.39,11.90,9.62,0.00,0.00,13.25,0.00,0.00,0.00,17.24,
6.36,12.31,10.81,0.00,0.00,7.31,0.00,14.06,0.00,12.31,4.40,0.00,0.00,0.00,8.56,4.77,0.00,0.00,9.56,0.00,
6.85,15.62,19.05,9.62,0.00,17.24,0.00,12.11,0.00,0.00,4.72,0.00,12.95,0.00,11.90,4.61,0.00,0.00,17.24,11.05,
7.10,15.10,25.42,10.75,0.00,16.84,8.62,8.82,16.03,0.00,9.70,9.90,0.00,0.00,0.00,16.84,14.58,0.00,8.25,22.70,
3.50,0.00,4.73,6.18,0.00,9.09,0.00,6.18,0.00,0.00,7.45,0.00,9.09,4.73,5.27,0.00,0.00,0.00,5.27,0.00,
6.15,11.14,16.59,20.05,0.00,8.48,10.38,14.00,9.24,11.86,0.00,10.23,7.24,0.00,0.00,6.38,0.00,0.00,9.24,0.00,
8.42,6.15,0.00,0.00,0.00,0.00,0.00,6.92,0.00,0.00,0.00,8.00,0.00,3.75,4.18,6.92,5.69,0.00,0.00,11.08,
19.31,14.35,32.98,8.08,26.38,17.35,32.56,26.00,0.00,28.61,6.43,22.34,36.49,37.65,46.07,29.50,32.09,0.00,0.00,34.39,
17.04,8.79,14.40,11.84,12.04,0.00,0.00,3.85,0.00,12.80,8.26,9.83,15.44,12.24,0.00,14.21,0.00,0.00,0.00,0.00,
2.90,0.00,9.09,0.00,0.00,0.00,0.00,9.09,5.27,0.00,0.00,0.00,0.00,2.90,7.45,5.27,0.00,7.45,4.55,0.00,
0.00,3.60,0.00,14.28,5.76,0.00,14.28,8.06,0.00,0.00,0.00,0.00,7.88,0.00,10.28,0.00,12.72,12.72,8.72,5.56,
6.18,6.50,0.00,3.56,0.00,0.00,0.00,0.00,0.00,0.00,5.27,6.18,0.00,0.00,4.73,3.50,0.00,0.00,0.00,0.00,
0.00,0.00,9.09,5.42,3.82,0.00,0.00,0.00,0.00,0.00,0.00,6.08,0.00,3.45,0.00,6.08,0.00,5.42,7.08,10.08,
9.09,0.00,0.00,6.18,0.00,0.00,0.00,3.33,5.27,0.00,9.09,0.00,0.00,3.30,0.00,0.00,5.27,0.00,4.73,0.00,
35.91,14.26,13.21,21.69,11.44,0.00,20.11,9.71,14.84,21.30,9.22,37.56,26.61,30.30,24.61,15.12,0.00,0.00,26.30,21.11,
0.00,7.45,0.00,0.00,0.00,0.00,2.38,6.18,0.00,0.00,4.22,0.00,0.00,0.00,6.18,0.00,0.00,0.00,0.00,4.55,
0.00,7.45,0.00,0.00,0.00,0.00,0.00,9.09,9.09,3.30,0.00,4.55,5.27,0.00,2.89,0.00,0.00,0.00,0.00,6.18,
