SEP_A,SEP_C,SEP_D,SEP_E,SEP_F,SEP_G,SEP_H,SEP_I,SEP_K,SEP_L,SEP_M,SEP_N,SEP_P,SEP_Q,SEP_R,SEP_S,SEP_T,SEP_V,SEP_W,SEP_Y
-0.396,0,-0.299,-0.299,-0.232,0,-0.232,-0.144,-0.144,-0.299,0,0,-0.299,-0.299,-0.352,-0.232,-0.299,-0.144,0,0
-0.224,0,-0.224,-0.473,-0.342,0,0,0,0,-0.42,0,-0.473,-0.224,0,0,-0.224,-0.224,0,-0.224,0
-0.469,0,-0.24,-0.15,-0.15,-0.469,0,0,-0.24,-0.442,0,-0.15,-0.24,0,-0.24,-0.24,0,0,0,-0.15
0,0,-0.447,0,-0.314,-0.447,0,0,0,0,-0.314,0,0,-0.447,0,0,-0.314,0,-0.314,-0.314
-0.409,0,-0.194,-0.379,-0.118,-0.194,-0.118,-0.194,0,-0.409,-0.118,-0.253,-0.194,-0.194,-0.379,-0.194,0,-0.253,0,0
-0.473,0,-0.224,-0.289,0,-0.342,0,0,0,-0.473,0,0,0,-0.42,-0.342,-0.138,-0.138,0,0,-0.138
-0.228,-0.294,-0.141,-0.454,-0.141,-0.39,-0.228,0,-0.228,-0.141,-0.141,-0.294,-0.228,-0.228,0,-0.294,0,-0.141,0,-0.141
-0.172,-0.272,0,-0.172,-0.272,-0.345,0,0,-0.345,-0.172,0,-0.401,-0.345,0,-0.272,-0.272,-0.172,-0.172,-0.172,-0.172
-0.375,0,-0.405,-0.116,0,-0.375,-0.191,-0.116,-0.191,-0.299,0,-0.116,-0.299,-0.191,-0.25,-0.34,0,-0.191,-0.116,-0.116
-0.314,0,0,0,-0.314,-0.392,0,0,-0.203,-0.314,0,0,-0.203,-0.392,-0.392,-0.392,-0.203,-0.203,0,0
0,0,-0.323,-0.209,-0.209,-0.323,-0.323,0,-0.209,0,-0.401,-0.209,-0.209,-0.209,-0.209,-0.209,-0.209,-0.323,0,-0.209
-0.447,0,0,0,-0.314,-0.447,0,0,0,0,-0.447,0,-0.314,-0.314,-0.314,-0.314,0,0,0,0
-0.136,-0.285,-0.22,-0.285,-0.22,-0.38,-0.136,0,-0.136,-0.337,0,-0.136,-0.285,-0.136,-0.22,-0.337,-0.136,-0.337,-0.136,0
-0.401,0,0,0,0,-0.476,0,-0.272,0,-0.401,-0.272,0,0,0,-0.272,-0.272,-0.272,0,0,-0.401
-0.233,-0.262,-0.201,-0.165,-0.289,-0.354,-0.073,-0.233,-0.123,-0.289,-0.165,-0.233,-0.312,0,-0.354,-0.262,-0.233,-0.073,0,-0.073
0,0,-0.314,0,-0.447,0,0,0,0,-0.314,0,-0.447,-0.314,-0.314,-0.511,0,0,0,0,0
0,0,0,-0.285,-0.285,0,0,-0.285,0,-0.285,0,-0.488,-0.285,0,-0.415,-0.488,0,0,0,0
-0.434,0,-0.108,-0.321,0,-0.178,-0.281,-0.281,-0.178,-0.386,-0.108,-0.281,-0.235,-0.108,-0.235,-0.235,0,-0.281,0,0
-0.431,0,0,-0.232,-0.352,-0.352,0,0,0,-0.352,0,-0.232,-0.232,-0.352,-0.232,-0.352,0,0,-0.232,0
-0.209,0,0,0,-0.209,-0.323,-0.323,-0.209,-0.209,0,0,-0.323,-0.323,-0.209,-0.401,0,-0.209,-0.401,-0.209,0
-0.216,0,-0.28,-0.28,-0.216,0,-0.133,-0.28,0,-0.44,0,-0.216,-0.133,-0.28,-0.375,-0.332,-0.28,-0.133,0,0
-0.299,0,-0.299,0,-0.299,-0.299,0,-0.299,0,-0.299,0,0,-0.299,0,-0.299,-0.5,0,-0.299,0,0
0,0,-0.392,-0.203,-0.203,-0.392,0,0,-0.392,-0.203,-0.203,-0.203,-0.392,-0.203,0,-0.203,-0.203,0,-0.203,-0.203
-0.306,0,0,-0.197,-0.306,-0.439,-0.197,-0.306,-0.439,-0.306,-0.197,0,0,0,0,-0.383,0,-0.197,0,0
-0.488,0,0,0,0,-0.285,0,0,0,-0.415,-0.285,-0.415,0,0,-0.285,-0.415,0,0,0,-0.285
-0.342,0,-0.277,-0.252,-0.069,-0.224,-0.069,-0.117,-0.117,-0.301,-0.157,-0.069,-0.301,-0.277,-0.407,-0.277,-0.117,-0.252,-0.069,-0.192
-0.232,-0.299,-0.327,-0.232,-0.299,-0.086,-0.144,-0.086,-0.299,-0.267,-0.086,-0.267,-0.086,0,-0.327,-0.267,-0.144,-0.327,0,-0.144
-0.25,0,-0.453,-0.5,0,0,0,-0.25,0,-0.453,-0.25,0,0,0,0,-0.375,-0.25,0,0,0
-0.32,-0.156,-0.156,0,-0.25,-0.32,-0.156,-0.156,0,-0.32,-0.156,-0.375,-0.156,0,-0.25,-0.418,-0.32,-0.156,0,0
-0.332,0,0,-0.431,0,-0.164,-0.164,0,0,-0.26,0,-0.164,-0.26,-0.26,-0.332,-0.164,-0.464,-0.26,-0.164,0
-0.342,0,0,-0.224,-0.342,-0.224,-0.224,0,0,-0.42,0,-0.224,-0.342,0,-0.42,-0.224,0,-0.342,0,0
-0.144,0,-0.144,-0.299,-0.144,-0.352,-0.144,-0.232,-0.144,-0.299,-0.144,-0.232,0,-0.299,-0.431,-0.299,-0.144,-0.144,-0.144,-0.144
-0.314,-0.357,-0.203,-0.166,-0.073,-0.264,-0.073,-0.235,-0.291,-0.291,-0.124,-0.235,-0.124,-0.166,-0.124,-0.314,-0.235,-0.203,-0.166,-0.124
0,0,0,0,-0.314,-0.314,-0.314,0,0,0,0,-0.447,-0.314,-0.447,0,-0.314,0,0,-0.314,-0.314
-0.24,0,-0.363,0,-0.442,-0.24,0,-0.24,-0.363,-0.24,0,-0.24,-0.24,0,-0.24,-0.363,0,-0.24,0,0
-0.401,0,0,0,0,-0.401,-0.401,0,0,-0.476,0,0,0,-0.272,-0.272,-0.476,0,0,0,0
-0.352,0,-0.232,-0.232,0,0,0,-0.232,-0.232,-0.513,0,-0.431,-0.232,0,0,-0.352,0,-0.232,0,0
-0.431,0,-0.299,0,0,0,0,0,-0.299,-0.5,0,0,-0.299,-0.431,-0.299,-0.299,0,0,0,0
-0.232,0,-0.299,-0.352,-0.144,0,-0.144,-0.232,-0.144,-0.459,0,-0.232,0,-0.232,-0.431,-0.232,-0.144,0,0,-0.232
-0.299,0,-0.299,0,0,-0.299,-0.299,-0.299,0,-0.5,0,0,-0.299,0,-0.299,-0.431,0,0,0,0
0,0,0,0,0,-0.511,-0.314,-0.447,0,-0.314,-0.314,-0.314,0,0,-0.314,0,0,-0.314,0,0
-0.144,0,-0.352,0,-0.232,-0.232,-0.144,-0.144,-0.299,-0.299,0,-0.299,0,-0.144,-0.299,-0.352,-0.352,-0.144,-0.144,-0.232
-0.26,0,-0.26,0,-0.464,-0.388,-0.26,-0.26,0,0,0,0,0,0,-0.26,-0.509,0,-0.26,0,0
-0.26,0,0,-0.26,-0.26,-0.26,0,-0.464,-0.388,-0.26,0,-0.388,-0.26,0,-0.26,0,-0.26,0,0,0
0,0,-0.375,0,-0.25,-0.375,-0.25,-0.25,0,-0.375,0,-0.25,0,-0.25,0,-0.453,-0.375,0,0,0
-0.392,0,-0.314,0,-0.203,-0.314,0,-0.203,0,-0.203,-0.314,-0.314,-0.203,-0.314,-0.203,-0.314,0,0,0,-0.314
0,0,-0.309,0,-0.309,-0.15,0,0,-0.24,-0.24,0,-0.15,-0.407,-0.309,-0.24,-0.24,-0.363,-0.309,-0.15,-0.24
-0.285,0,0,-0.285,-0.359,-0.457,0,0,-0.285,-0.359,0,-0.285,0,0,-0.285,-0.285,-0.181,-0.181,0,-0.181
0,0,-0.25,-0.25,-0.375,-0.25,-0.25,-0.375,0,-0.25,0,0,-0.453,0,-0.25,-0.25,-0.25,0,0,-0.25
0,0,-0.26,0,-0.26,-0.388,0,-0.26,0,-0.26,-0.464,-0.388,-0.26,0,0,-0.388,0,0,0,-0.26
-0.25,0,0,0,0,-0.375,-0.25,0,0,-0.375,0,-0.25,-0.25,-0.25,-0.25,-0.453,-0.25,-0.25,0,-0.25
0,0,0,0,0,-0.447,0,-0.314,0,0,0,0,-0.517,-0.314,-0.447,0,0,0,0,0
-0.357,-0.124,-0.291,-0.314,-0.073,-0.235,0,-0.264,-0.375,-0.357,-0.166,-0.124,-0.124,-0.235,-0.166,-0.235,0,-0.124,-0.124,-0.203
-0.415,0,-0.285,0,-0.285,-0.285,0,0,0,-0.415,0,-0.285,-0.285,0,-0.285,-0.285,-0.285,-0.285,0,0
0,0,-0.447,0,-0.447,-0.314,-0.314,0,0,0,0,0,0,-0.447,0,-0.314,-0.314,0,0,-0.314
-0.224,0,-0.224,-0.224,-0.507,-0.342,0,0,0,-0.342,0,-0.342,-0.224,-0.224,-0.224,-0.224,-0.224,0,0,0
-0.304,-0.236,0,-0.304,-0.147,-0.358,-0.236,0,-0.147,-0.304,-0.147,0,-0.358,0,-0.358,-0.147,-0.236,-0.304,-0.147,0
0,0,0,-0.26,-0.26,-0.464,0,-0.26,0,0,0,-0.464,-0.26,0,-0.388,0,0,-0.26,0,-0.388
0,-0.131,-0.303,-0.35,-0.213,-0.246,-0.131,-0.131,-0.303,-0.35,0,-0.213,-0.213,-0.246,-0.328,-0.078,-0.175,-0.246,-0.078,-0.213
0,0,0,-0.314,-0.314,-0.511,0,0,0,-0.314,0,0,0,0,-0.314,-0.314,-0.314,-0.314,0,-0.314
-0.285,0,0,-0.53,-0.285,0,-0.285,0,-0.285,0,0,0,-0.285,0,0,-0.415,0,-0.285,0,0
-0.312,-0.262,-0.233,-0.334,-0.073,-0.233,-0.073,-0.233,-0.354,-0.354,-0.073,-0.073,-0.201,-0.233,-0.233,-0.233,-0.073,-0.201,0,-0.165
-0.388,0,-0.388,0,-0.464,-0.464,0,0,0,-0.26,0,-0.388,0,0,0,-0.388,0,0,0,0
-0.144,0,-0.299,0,-0.352,-0.144,0,0,-0.232,-0.431,-0.144,-0.144,-0.396,0,-0.431,-0.232,-0.299,-0.144,0,0
-0.459,0,-0.381,0,-0.16,-0.16,-0.16,-0.16,0,-0.326,0,0,-0.326,-0.255,-0.255,-0.255,-0.255,0,0,-0.326
-0.304,0,-0.304,0,-0.088,-0.332,-0.088,-0.272,-0.195,-0.272,-0.195,-0.195,-0.304,-0.236,-0.332,-0.272,-0.147,-0.195,-0.088,-0.147
-0.339,0,-0.168,-0.513,0,-0.168,-0.168,-0.168,-0.168,-0.437,0,0,-0.168,-0.266,-0.266,-0.266,0,-0.168,0,0
-0.426,0,0,-0.426,0,-0.294,0,0,0,-0.294,0,-0.141,-0.39,-0.294,-0.141,-0.294,0,-0.39,-0.141,0
0,0,0,-0.272,0,0,0,-0.272,0,-0.272,0,-0.476,-0.272,-0.401,0,-0.476,0,-0.272,0,-0.272
0,0,-0.272,0,-0.401,-0.476,-0.272,-0.272,0,0,-0.272,0,0,-0.272,-0.401,-0.272,0,-0.272,0,0
-0.216,-0.464,-0.332,-0.216,0,-0.216,0,-0.216,0,-0.332,0,0,-0.216,-0.216,0,0,-0.332,-0.411,0,-0.216
-0.181,0,-0.181,-0.181,-0.285,-0.181,0,-0.285,-0.415,0,-0.285,-0.415,-0.181,0,-0.181,-0.359,-0.285,-0.181,0,0
-0.337,0,-0.285,-0.285,-0.22,-0.22,-0.136,0,-0.136,-0.337,-0.136,0,-0.22,-0.337,-0.285,-0.22,0,-0.337,0,-0.285
-0.388,0,0,-0.26,-0.388,-0.26,0,0,-0.26,0,0,0,-0.509,0,-0.388,0,-0.26,-0.26,0,0
-0.323,0,-0.323,-0.209,-0.323,-0.209,0,0,-0.209,-0.323,0,-0.209,0,0,-0.323,-0.528,0,0,0,0
-0.431,0,0,-0.299,-0.299,-0.431,0,-0.299,0,-0.299,0,0,-0.431,0,-0.299,0,0,-0.299,0,0
-0.116,0,-0.25,0,-0.25,-0.299,-0.191,-0.25,-0.375,-0.299,-0.116,-0.191,-0.191,-0.191,-0.191,-0.405,0,-0.191,-0.191,-0.191
-0.304,0,-0.147,-0.236,-0.236,0,0,-0.147,-0.401,-0.304,-0.236,-0.304,-0.401,0,-0.147,-0.236,-0.147,-0.304,-0.147,0
0,0,0,0,-0.363,-0.442,0,0,0,-0.24,-0.24,-0.363,-0.491,0,-0.363,-0.24,0,0,0,-0.24
-0.326,-0.255,-0.16,0,-0.255,-0.381,-0.255,0,-0.16,-0.381,0,-0.255,-0.326,-0.16,0,-0.255,0,-0.255,0,-0.255
-0.26,0,-0.26,0,-0.26,-0.509,0,0,0,-0.388,0,-0.26,0,0,-0.26,-0.464,-0.26,0,0,0
-0.347,0,0,-0.426,0,-0.228,0,0,0,-0.347,-0.141,-0.141,-0.454,-0.228,-0.141,-0.294,-0.228,-0.294,-0.141,0
0,0,-0.25,-0.25,0,0,0,-0.375,0,-0.453,-0.25,-0.453,-0.25,-0.25,-0.25,-0.375,0,0,0,0
-0.314,-0.379,-0.105,-0.174,-0.174,-0.229,0,-0.105,-0.379,-0.275,-0.174,0,-0.275,0,-0.229,-0.427,-0.229,-0.105,0,-0.105
-0.375,0,-0.25,-0.375,0,0,0,0,0,-0.25,-0.25,-0.25,0,-0.25,-0.25,-0.375,0,-0.375,0,-0.375
-0.188,-0.188,-0.188,-0.295,-0.115,-0.449,-0.188,0,0,-0.188,-0.247,-0.115,-0.295,-0.188,-0.295,-0.247,-0.188,-0.295,-0.115,-0.115
-0.236,-0.304,-0.304,-0.464,0,-0.236,-0.358,0,-0.236,-0.236,0,-0.147,-0.236,-0.236,0,-0.147,-0.236,-0.147,0,-0.147
0,0,-0.431,-0.299,-0.299,-0.299,0,0,-0.299,-0.299,-0.299,0,-0.431,-0.299,0,0,0,-0.299,0,0
-0.314,0,0,0,0,-0.314,0,0,-0.447,-0.314,0,-0.314,0,-0.447,0,-0.314,0,0,-0.447,0
-0.266,0,-0.394,-0.168,-0.266,-0.168,-0.168,0,-0.339,-0.266,0,0,0,0,-0.168,-0.437,-0.266,-0.266,0,-0.339
-0.232,-0.299,-0.375,-0.144,-0.191,-0.086,-0.086,-0.086,-0.144,-0.299,-0.232,-0.232,0,-0.232,-0.267,-0.267,-0.144,-0.299,0,-0.327
-0.359,0,-0.359,-0.285,-0.181,-0.181,-0.285,-0.11,-0.181,-0.438,-0.181,-0.181,-0.237,-0.181,-0.181,-0.11,0,0,-0.181,-0.181
0,0,-0.516,0,-0.401,-0.476,-0.272,0,0,0,-0.272,0,0,-0.272,-0.272,0,0,0,0,-0.272
-0.203,0,0,-0.203,0,-0.314,-0.203,0,0,-0.314,0,-0.314,-0.392,0,-0.314,-0.392,-0.314,-0.203,0,-0.314
-0.181,0,-0.181,-0.285,-0.181,-0.285,-0.181,-0.285,-0.181,0,-0.181,-0.457,-0.359,-0.181,-0.181,-0.285,-0.181,0,0,-0.181
0,0,0,0,-0.444,-0.524,0,0,0,0,-0.172,-0.272,0,-0.444,-0.272,-0.172,0,0,0,0
-0.245,0,-0.314,-0.369,-0.153,-0.314,0,0,-0.245,-0.412,-0.153,0,-0.314,-0.314,0,-0.153,-0.153,0,-0.245,-0.245
-0.362,0,-0.253,-0.279,-0.07,-0.253,-0.159,-0.159,-0.159,-0.253,-0.159,-0.07,-0.253,-0.279,-0.362,-0.324,-0.07,-0.225,-0.07,-0.194
-0.285,0,0,-0.285,-0.285,-0.285,0,0,0,0,0,-0.285,0,-0.285,-0.415,-0.285,-0.285,-0.285,0,-0.415
-0.299,-0.191,-0.327,-0.352,-0.086,-0.191,-0.191,-0.191,-0.144,-0.396,0,0,-0.267,-0.232,-0.191,-0.414,-0.144,0,-0.086,0
-0.308,0,-0.17,-0.372,-0.102,-0.342,-0.102,-0.17,0,-0.342,-0.224,-0.17,-0.342,-0.224,-0.269,-0.308,0,-0.224,-0.102,0
-0.34,0,-0.375,-0.116,0,-0.405,-0.116,-0.116,-0.25,-0.405,-0.116,0,-0.191,-0.191,-0.25,-0.25,-0.191,-0.191,0,-0.191
-0.415,-0.415,-0.181,0,0,-0.181,-0.285,0,0,-0.415,0,-0.181,-0.285,-0.181,-0.181,-0.285,-0.285,0,0,-0.181
-0.272,0,-0.345,-0.401,0,-0.172,0,0,0,-0.444,-0.172,-0.272,-0.272,-0.172,-0.172,-0.401,-0.172,-0.172,0,0
-0.246,-0.213,-0.131,-0.131,-0.213,-0.175,-0.131,-0.213,-0.389,-0.303,-0.078,-0.175,-0.246,-0.246,-0.213,-0.276,-0.303,-0.213,-0.078,-0.131
-0.482,0,-0.352,0,-0.232,-0.431,0,0,0,-0.232,0,0,-0.352,0,-0.232,-0.232,-0.232,-0.232,-0.232,0
-0.389,0,-0.285,-0.359,0,-0.11,-0.11,-0.181,-0.285,-0.415,-0.11,0,-0.237,-0.325,-0.285,-0.237,0,-0.181,0,-0.11
-0.272,0,0,0,-0.272,-0.476,0,0,-0.401,0,0,-0.272,-0.272,0,-0.272,0,-0.401,-0.272,0,-0.272
0,0,0,0,-0.314,-0.314,0,0,0,0,-0.314,-0.314,0,-0.447,-0.447,-0.314,0,0,-0.314,-0.314
-0.224,0,0,-0.224,-0.224,-0.224,0,-0.224,-0.342,-0.42,-0.224,-0.224,-0.342,0,-0.42,0,-0.224,0,0,-0.224
-0.332,0,-0.272,-0.088,-0.195,-0.332,-0.088,-0.195,-0.195,-0.304,-0.147,-0.147,-0.272,-0.236,-0.332,-0.304,-0.195,-0.147,-0.088,-0.147
0,0,0,-0.285,-0.285,-0.523,0,0,0,-0.415,0,0,0,0,-0.415,-0.488,0,0,0,0
-0.203,0,-0.203,0,-0.203,-0.392,0,0,-0.314,-0.314,0,-0.314,-0.203,-0.203,0,-0.486,-0.203,0,-0.314,0
-0.392,-0.073,-0.314,-0.291,-0.073,-0.291,0,-0.264,-0.392,-0.357,-0.124,-0.124,-0.124,-0.124,-0.166,-0.166,-0.124,-0.124,-0.124,-0.203
0,0,0,0,0,-0.49,0,0,0,0,-0.197,0,-0.197,0,-0.306,0,0,0,-0.197,-0.506
-0.209,0,-0.323,-0.209,-0.209,-0.209,0,0,-0.209,-0.209,0,-0.209,-0.209,0,-0.323,-0.528,-0.209,0,0,-0.209
-0.415,0,-0.285,-0.285,-0.415,-0.488,0,0,0,-0.415,0,-0.285,0,0,0,-0.285,0,0,0,0
-0.26,0,-0.509,-0.528,0,-0.464,0,0,0,-0.26,0,-0.26,0,0,0,0,0,0,0,0
-0.32,0,0,0,-0.25,-0.32,0,-0.25,-0.156,-0.32,-0.156,-0.25,-0.32,-0.25,-0.375,-0.32,-0.156,0,-0.25,0
-0.345,0,0,0,0,-0.444,-0.172,-0.172,0,-0.444,-0.172,-0.172,-0.345,-0.345,-0.345,-0.172,-0.172,0,0,0
0,0,0,0,-0.314,-0.447,0,-0.314,0,-0.314,0,0,-0.447,0,-0.314,-0.447,0,-0.314,0,0
-0.306,0,-0.197,-0.479,0,-0.439,0,0,-0.197,0,0,0,-0.383,0,-0.479,-0.197,-0.197,0,0,0
-0.401,-0.272,0,-0.172,-0.345,-0.172,0,0,-0.345,0,-0.172,-0.345,-0.272,0,-0.272,-0.345,-0.272,0,-0.172,0
-0.144,0,-0.352,-0.144,-0.232,-0.232,0,-0.144,-0.144,-0.352,0,-0.144,-0.396,-0.352,-0.232,0,-0.232,-0.299,0,-0.299
-0.232,0,0,-0.232,-0.232,-0.232,0,0,-0.232,-0.352,0,0,-0.232,0,-0.232,-0.431,0,-0.352,0,-0.482
-0.232,0,0,-0.352,-0.352,0,0,0,-0.232,-0.232,-0.232,-0.352,0,0,-0.352,-0.482,-0.232,-0.232,0,0
0,-0.24,0,-0.15,-0.309,-0.407,0,-0.309,-0.24,-0.15,-0.15,-0.363,0,0,-0.407,-0.442,0,0,-0.15,0
-0.476,0,-0.272,-0.272,0,-0.272,0,-0.272,0,-0.401,0,-0.272,-0.272,-0.272,0,-0.272,0,0,0,-0.272
0,0,-0.314,0,-0.447,0,0,0,0,0,-0.314,0,-0.314,-0.314,-0.314,-0.447,-0.447,0,0,0
-0.299,0,-0.299,0,-0.299,-0.431,0,0,0,-0.431,0,0,-0.299,0,-0.431,-0.299,0,-0.299,0,0
-0.24,0,0,0,-0.24,-0.24,-0.24,0,-0.24,-0.24,-0.363,-0.24,-0.24,0,-0.24,-0.491,0,-0.363,0,0
-0.272,0,-0.401,-0.272,-0.401,-0.401,0,-0.272,0,0,0,-0.272,-0.272,0,-0.272,-0.272,0,-0.272,0,0
-0.401,0,0,-0.272,-0.272,0,0,0,-0.272,-0.401,-0.272,0,0,0,-0.401,-0.476,-0.272,0,0,0
-0.323,0,-0.209,-0.209,0,-0.456,0,-0.323,-0.209,-0.456,-0.209,-0.323,0,0,0,-0.323,0,-0.209,0,0
-0.453,0,0,0,0,-0.25,0,-0.25,0,-0.375,0,-0.25,-0.25,-0.25,-0.25,-0.5,0,0,0,-0.25
-0.323,0,-0.209,0,0,-0.401,0,0,0,-0.456,-0.209,-0.209,-0.209,-0.209,-0.209,-0.456,0,-0.209,0,-0.209
-0.326,0,-0.381,-0.326,0,-0.381,-0.255,0,-0.255,-0.255,0,-0.16,0,-0.16,-0.16,-0.16,-0.16,-0.255,0,-0.381
-0.447,0,-0.314,0,-0.314,-0.314,0,0,0,-0.314,-0.314,-0.314,-0.314,-0.314,0,0,0,0,0,-0.314
-0.392,0,-0.203,-0.314,0,-0.314,-0.314,-0.203,-0.203,0,-0.314,-0.203,0,-0.314,-0.203,-0.314,0,0,0,-0.314
-0.415,0,0,0,-0.415,-0.285,0,0,-0.285,0,0,0,-0.488,0,-0.285,-0.285,-0.285,-0.285,0,0
-0.224,-0.17,-0.372,-0.102,-0.102,-0.224,0,-0.269,-0.17,-0.458,-0.102,-0.224,-0.102,-0.269,-0.372,-0.269,-0.17,-0.102,0,0
-0.292,-0.292,-0.186,0,-0.186,-0.494,0,-0.186,-0.367,-0.367,-0.186,-0.186,0,0,-0.292,-0.292,0,0,0,0
-0.447,0,0,0,-0.447,-0.314,-0.314,0,0,0,0,-0.314,-0.314,0,0,-0.314,0,0,-0.314,-0.314
0,-0.352,-0.232,-0.232,0,-0.232,0,0,0,0,-0.352,0,-0.232,0,-0.482,0,-0.232,-0.431,-0.232,-0.232
-0.314,0,-0.511,0,0,0,0,0,-0.314,-0.314,0,0,-0.314,0,-0.447,-0.447,0,0,0,0
0,-0.431,-0.299,0,-0.431,0,0,0,-0.299,0,0,-0.431,0,0,0,-0.299,0,-0.299,-0.299,-0.299
-0.314,0,-0.314,0,-0.447,-0.511,-0.314,0,0,-0.314,0,0,0,0,0,0,-0.314,0,0,-0.314
-0.122,-0.26,-0.122,-0.2,-0.2,-0.352,-0.26,-0.2,-0.122,-0.352,-0.2,-0.31,-0.2,0,-0.31,-0.31,0,-0.2,0,-0.2
0,0,0,-0.531,0,-0.314,0,0,0,-0.511,0,0,-0.314,0,-0.314,0,0,-0.314,0,0
0,0,0,0,0,-0.314,-0.314,-0.447,-0.314,0,-0.314,0,-0.511,0,-0.314,0,0,-0.314,0,0
-0.156,-0.25,-0.25,0,-0.156,-0.48,0,-0.25,-0.32,-0.156,-0.156,-0.156,-0.156,-0.25,-0.156,-0.418,0,-0.25,0,0
-0.339,0,0,0,-0.266,-0.339,-0.339,0,-0.168,-0.266,0,0,-0.339,0,-0.266,-0.437,-0.168,-0.168,-0.168,-0.266
-0.203,0,-0.314,-0.203,-0.392,-0.203,0,0,-0.314,-0.392,0,-0.314,-0.314,-0.203,-0.203,-0.203,0,0,-0.203,-0.203
-0.144,0,-0.299,0,-0.232,-0.299,-0.144,-0.144,-0.232,-0.232,-0.144,-0.144,0,-0.299,-0.299,-0.352,-0.396,-0.144,-0.144,-0.232
-0.401,0,-0.272,-0.401,0,0,0,0,-0.401,-0.401,-0.272,0,0,0,-0.272,-0.272,-0.272,0,-0.272,0
0,0,0,-0.26,-0.26,-0.26,0,-0.388,-0.388,-0.26,-0.26,-0.26,-0.26,0,-0.26,-0.388,-0.26,0,0,0
0,0,0,0,0,-0.232,-0.232,-0.352,0,-0.232,0,-0.352,-0.528,-0.232,-0.431,0,0,0,0,-0.232
-0.197,-0.257,-0.161,-0.228,-0.228,-0.197,-0.071,-0.197,-0.328,-0.283,-0.197,-0.161,-0.283,-0.197,-0.071,-0.383,-0.228,-0.228,0,-0.161
-0.314,0,-0.314,-0.314,-0.314,0,0,-0.314,0,0,0,0,-0.511,0,-0.314,-0.447,0,0,0,0
-0.42,0,-0.342,-0.224,0,0,0,-0.224,-0.224,-0.224,-0.224,0,-0.342,-0.224,-0.342,-0.224,-0.224,-0.342,0,0
