QSO3_SC_A,QSO3_SC_R,QSO3_SC_N,QSO3_SC_D,QSO3_SC_C,QSO3_SC_Q,QSO3_SC_E,QSO3_SC_G,QSO3_SC_H,QSO3_SC_I,QSO3_SC_L,QSO3_SC_K,QSO3_SC_M,QSO3_SC_F,QSO3_SC_P,QSO3_SC_S,QSO3_SC_T,QSO3_SC_W,QSO3_SC_Y,QSO3_SC_V,QSO3_G_A,QSO3_G_R,QSO3_G_N,QSO3_G_D,QSO3_G_C,QSO3_G_Q,QSO3_G_E,QSO3_G_G,QSO3_G_H,QSO3_G_I,QSO3_G_L,QSO3_G_K,QSO3_G_M,QSO3_G_F,QSO3_G_P,QSO3_G_S,QSO3_G_T,QSO3_G_W,QSO3_G_Y,QSO3_G_V,QSO3_SC1,QSO3_SC2,QSO3_SC3,QSO3_G1,QSO3_G2,QSO3_G3
0.0,0.7621,0.381,1.1431,0.0,0.0,0.381,0.381,0.0,0.381,0.381,0.0,0.0,0.7621,0.0,0.381,0.0,0.0,0.0,0.381,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2818,0.2618,0.0754,0.2818,0.2618,0.0754
0.3261,0.6522,0.3261,0.8152,0.0,0.3261,0.8152,0.3261,0.163,0.4891,0.9782,0.0,0.163,0.163,0.163,0.4891,0.0,0.0,0.163,0.4891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2654,0.3361,0.2355,0.2654,0.3361,0.2355
0.5117,0.4094,0.2047,0.307,0.4094,0.7164,0.1023,0.0,0.0,0.5117,0.2047,1.2282,0.1023,0.4094,0.307,1.0235,0.5117,0.1023,0.307,0.5117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2907,0.3237,0.2833,0.2907,0.3237,0.2833
0.9108,0.3036,0.6072,0.0,0.0,0.0,1.8217,0.6072,0.3036,0.3036,0.3036,0.0,0.0,0.0,0.0,1.5181,0.3036,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.2786,0.2347,0.1831,0.2786,0.2347,0.1831
0.427,0.427,0.1423,0.427,0.0,0.1423,1.281,0.427,0.1423,0.427,1.4233,0.2847,0.1423,0.2847,0.7117,0.9963,0.2847,0.0,0.0,0.5693,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2907,0.2954,0.2716,0.2907,0.2954,0.2716
0.7962,0.0,1.5924,0.0,0.0,0.0,0.3981,1.1943,0.0,0.3981,1.9904,0.3981,0.3981,0.0,0.0,1.1943,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2158,0.203,0.1831,0.2158,0.203,0.1831
0.9289,0.6966,0.2322,0.6966,0.0,0.4644,0.0,0.2322,0.0,0.0,0.4644,0.4644,0.0,0.6966,0.0,0.6966,0.0,0.0,0.2322,0.4644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3093,0.2452,0.2133,0.3093,0.2452,0.2133
0.5971,0.398,0.398,1.7912,0.0,0.199,0.9951,1.1941,0.398,0.0,0.9951,0.199,0.0,0.0,0.0,0.7961,0.199,0.0,0.0,0.199,0.0,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2663,0.2931,0.2416,0.2663,0.2931,0.2416
0.2424,0.606,0.3636,0.3636,0.1212,0.4848,0.4848,1.212,0.1212,0.3636,0.7272,0.2424,0.1212,0.3636,0.4848,0.9696,0.3636,0.1212,0.2424,0.4848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.291,0.3162,0.2715,0.291,0.3162,0.2715
0.9505,0.7604,0.0,0.5703,0.0,0.5703,0.5703,0.0,0.3802,0.1901,0.5703,0.1901,0.0,0.3802,0.5703,0.3802,0.5703,0.0,0.0,0.1901,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3277,0.239,0.2432,0.3277,0.239,0.2432
0.3234,0.0,1.2934,0.3234,0.0,0.0,1.2934,0.0,0.0,0.0,0.9701,0.0,0.0,0.6467,0.3234,0.3234,0.3234,0.3234,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2173,0.2522,0.2072,0.2173,0.2522,0.2072
1.4761,0.4217,0.2109,0.4217,0.0,0.0,0.2109,1.4761,0.0,0.0,1.2652,0.4217,0.0,0.2109,0.4217,0.4217,0.0,0.0,0.2109,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3019,0.2368,0.2504,0.3019,0.2368,0.2504
0.0,0.0,0.0,0.9674,0.0,0.9674,0.0,0.9674,0.0,0.0,0.0,0.0,0.4837,0.4837,0.0,0.0,0.4837,0.4837,0.4837,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2181,0.1558,0.1424,0.2181,0.1558,0.1424
1.0206,0.8748,0.4374,0.2916,0.0,0.2916,0.8748,0.2916,0.1458,0.2916,1.0206,0.0,0.1458,0.1458,0.2916,0.2916,0.0,0.0,0.0,0.4374,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3102,0.2799,0.2641,0.3102,0.2799,0.2641
1.5977,0.7988,0.0,0.3994,0.0,1.1982,0.5991,0.7988,0.0,0.0,1.5977,0.0,0.0,0.0,0.0,0.1997,0.1997,0.0,0.1997,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.261,0.2665,0.2728,0.261,0.2665,0.2728
0.4145,0.0,0.6217,0.2072,0.6217,0.4145,1.4507,1.0362,0.4145,0.0,0.2072,0.4145,0.2072,0.2072,0.4145,0.6217,0.0,0.0,0.2072,0.2072,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2416,0.3135,0.2376,0.2416,0.3135,0.2376
0.2762,0.5524,1.1047,0.0,0.5524,0.0,0.2762,0.8285,0.0,0.0,0.2762,0.8285,0.0,0.5524,0.8285,0.5524,0.2762,0.2762,0.2762,0.2762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2035,0.2444,0.276,0.2035,0.2444,0.276
0.8937,0.4468,0.1489,1.0426,0.0,0.2979,0.1489,0.8937,0.2979,0.1489,0.5958,0.2979,0.0,0.0,0.5958,0.7447,0.0,0.1489,0.1489,0.2979,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2813,0.283,0.2868,0.2813,0.283,0.2868
0.6236,0.9355,0.0,0.0,0.0,0.9355,0.0,0.9355,0.0,0.0,0.6236,0.3118,0.0,0.6236,0.3118,0.9355,0.3118,0.0,0.0,0.3118,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.2682,0.2235,0.1966,0.2682,0.2235,0.1966
0.0,0.3205,0.3205,0.641,0.0,0.3205,0.3205,0.641,0.641,0.0,0.0,0.3205,0.9615,0.3205,0.3205,0.3205,0.3205,0.0,0.3205,0.641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2656,0.2163,0.1976,0.2656,0.2163,0.1976
1.2363,0.6181,0.0,0.0,0.0,0.6181,0.0,1.2363,0.0,0.0,0.0,0.0,1.2363,0.6181,0.6181,0.6181,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1755,0.1384,0.0679,0.1755,0.1384,0.0679
0.2081,0.4161,0.2081,0.4161,0.6242,0.2081,0.6242,1.0403,0.2081,0.0,0.8322,0.2081,0.0,0.4161,0.6242,0.8322,0.2081,0.2081,0.0,0.8322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2547,0.2662,0.2711,0.2547,0.2662,0.2711
0.9769,0.4884,0.0,0.0,0.0,0.0,0.0,1.4653,0.0,0.4884,0.9769,0.0,0.4884,0.0,0.0,0.4884,0.4884,0.0,0.9769,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.1712,0.1938,0.1466,0.1712,0.1938,0.1466
0.5023,1.0045,0.5023,0.4018,0.6027,0.0,0.3014,1.0045,0.1005,0.5023,0.7032,0.2009,0.3014,0.7032,0.8036,0.6027,0.5023,0.0,0.1005,0.1005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2952,0.3178,0.2865,0.2952,0.3178,0.2865
0.0,1.3112,0.8741,0.4371,0.0,0.4371,0.0,0.0,0.0,0.0,0.4371,0.0,0.0,0.8741,0.4371,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.2761,0.078,0.2088,0.2761,0.078,0.2088
0.0,0.8909,1.3364,0.0,0.0,0.0,0.4455,0.0,0.0,0.4455,0.4455,0.0,0.0,0.4455,0.4455,1.3364,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.2422,0.1668,0.1455,0.2422,0.1668,0.1455
1.428,0.476,0.6347,0.1587,0.0,0.1587,0.7933,0.3173,0.6347,0.6347,1.1107,0.3173,0.1587,0.0,0.476,0.476,0.0,0.0,0.0,0.6347,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.272,0.3159,0.2534,0.272,0.3159,0.2534
1.2599,0.42,0.42,0.0,0.0,0.8399,0.42,0.8399,0.0,0.0,0.8399,0.0,0.0,0.8399,0.42,0.8399,0.0,0.42,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2175,0.1831,0.1794,0.2175,0.1831,0.1794
0.2787,0.836,0.5573,0.0,0.0,0.2787,0.0,0.5573,0.5573,0.2787,0.0,0.2787,0.0,0.2787,0.5573,0.0,0.2787,0.2787,0.0,0.836,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.2812,0.2533,0.1868,0.2812,0.2533,0.1868
0.3589,0.8972,0.3589,0.5383,0.0,0.5383,0.5383,0.0,0.1794,0.5383,1.2561,0.0,0.0,0.3589,0.1794,0.7178,0.5383,0.0,0.0,0.1794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3012,0.2717,0.2477,0.3012,0.2717,0.2477
0.5569,0.5569,0.0,0.5569,0.0,0.0,0.0,0.5569,0.0,0.5569,0.5569,0.0,0.0,0.5569,0.5569,1.6708,0.0,0.0,0.0,0.5569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.1863,0.136,0.1208,0.1863,0.136,0.1208
0.0,0.0,0.3147,0.944,0.0,0.3147,0.3147,0.944,0.0,0.0,0.3147,0.944,0.3147,0.3147,0.944,0.3147,0.3147,0.3147,0.3147,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.2761,0.245,0.1643,0.2761,0.245,0.1643
0.5351,0.0,0.0,0.0,0.0,0.0,0.2675,1.0702,0.2675,0.5351,0.5351,1.0702,0.2675,0.5351,0.0,0.8026,0.0,0.0,0.0,0.2675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2787,0.2847,0.169,0.2787,0.2847,0.169
1.5074,0.5025,1.0049,0.0,0.0,0.0,0.0,0.5025,0.0,0.0,1.0049,0.0,0.5025,0.0,0.0,1.0049,0.0,0.0,0.5025,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.1664,0.1605,0.1707,0.1664,0.1605,0.1707
0.7752,1.0853,0.0775,0.5426,0.0,0.5426,0.4651,0.3876,0.0775,0.155,0.6201,0.155,0.2326,0.0775,0.6201,0.5426,0.155,0.0775,0.3101,0.4651,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3231,0.3267,0.2727,0.3231,0.3267,0.2727
0.3961,0.6931,0.4951,0.6931,0.5941,0.0,0.3961,0.099,0.198,0.099,0.4951,0.5941,0.099,0.5941,0.099,0.4951,0.198,0.0,0.198,0.6931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2884,0.3409,0.2717,0.2884,0.3409,0.2717
0.3553,0.0,0.0,1.0659,0.0,0.0,1.4212,0.0,0.0,0.3553,1.0659,0.0,0.3553,0.0,0.0,0.7106,0.3553,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1929,0.2552,0.1966,0.1929,0.2552,0.1966
0.8552,0.5701,1.1403,0.2851,0.2851,0.0,0.0,0.8552,0.2851,0.2851,0.8552,0.0,0.2851,0.5701,0.2851,1.4253,0.8552,0.0,0.0,0.2851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.2352,0.2794,0.2003,0.2352,0.2794,0.2003
0.6893,0.6893,0.2298,0.0,0.0,0.4595,1.1488,0.2298,0.2298,0.0,0.4595,0.0,0.0,0.0,0.4595,0.2298,1.3786,0.2298,0.0,0.4595,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.2805,0.2074,0.2823,0.2805,0.2074,0.2823
0.6828,1.0241,0.3414,0.0,0.0,0.0,0.3414,0.3414,0.3414,0.0,1.0241,0.0,0.0,0.6828,0.6828,0.3414,0.0,0.0,0.0,0.6828,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2351,0.1852,0.2383,0.2351,0.1852,0.2383
0.1994,1.1962,0.3987,0.1994,0.0,0.5981,0.5981,0.7975,0.1994,0.3987,0.5981,0.1994,0.1994,0.1994,0.0,0.5981,0.1994,0.1994,0.1994,0.1994,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2382,0.2738,0.2886,0.2382,0.2738,0.2886
0.8561,0.214,0.535,0.428,1.0701,0.321,0.321,0.6421,0.107,0.535,0.7491,0.7491,0.214,0.107,0.214,0.8561,0.535,0.321,0.214,0.428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2919,0.2953,0.3058,0.2919,0.2953,0.3058
0.0,0.0,1.0155,0.0,0.0,1.0155,0.0,0.5077,0.5077,0.0,0.0,0.0,0.0,0.5077,0.5077,0.5077,0.0,0.5077,0.5077,0.0,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1776,0.1639,0.1508,0.1776,0.1639,0.1508
0.3298,0.3298,0.3298,0.6596,0.0,0.0,0.0,0.3298,0.0,0.3298,0.3298,0.6596,0.0,0.9894,0.3298,0.6596,0.0,0.0,0.0,0.3298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.2693,0.2223,0.1786,0.2693,0.2223,0.1786
0.9101,0.4551,0.0,0.0,0.0,0.4551,0.0,0.9101,0.9101,0.0,1.3652,0.0,0.0,0.0,0.0,1.3652,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.1864,0.2023,0.1562,0.1864,0.2023,0.1562
0.8109,0.0,1.2163,0.4054,0.0,0.0,0.4054,0.0,0.0,0.4054,2.0272,0.4054,0.0,0.0,0.4054,0.8109,0.0,0.0,0.0,0.4054,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2128,0.213,0.1687,0.2128,0.213,0.1687
0.9013,0.4506,0.0,0.4506,0.0,0.9013,0.0,0.0,0.0,0.0,1.3519,0.4506,0.0,0.0,0.4506,0.4506,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2271,0.1077,0.2145,0.2271,0.1077,0.2145
0.3742,1.1226,0.3742,0.5613,0.0,0.3742,0.7484,0.0,0.1871,0.3742,1.3097,0.1871,0.0,0.1871,0.0,0.3742,0.1871,0.0,0.3742,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2881,0.2623,0.2625,0.2881,0.2623,0.2625
0.4594,0.4594,0.0,0.4594,0.0,0.0,0.0,0.4594,0.4594,0.4594,1.3782,0.0,0.0,0.0,0.4594,0.9188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.1393,0.2156,0.1857,0.1393,0.2156,0.1857
0.0,0.5048,0.5048,0.0,0.0,0.0,0.0,1.5143,0.5048,1.0095,0.5048,0.0,0.5048,0.0,0.0,0.0,0.0,0.0,0.0,0.5048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1576,0.1816,0.1561,0.1576,0.1816,0.1561
0.2003,0.6008,0.6008,0.8011,0.0,0.2003,0.0,0.4005,0.2003,0.2003,0.6008,0.6008,0.0,0.4005,0.0,0.8011,0.8011,0.2003,0.4005,0.2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2639,0.3037,0.2322,0.2639,0.3037,0.2322
0.3879,0.3879,0.0,0.3879,0.0,0.0,0.0,0.7759,0.3879,0.3879,0.0,0.0,0.0,1.1638,0.0,1.5517,0.0,0.0,0.0,0.3879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.2546,0.23,0.1274,0.2546,0.23,0.1274
0.3713,0.3713,0.7427,0.0,0.0,0.0,0.3713,0.3713,0.0,1.114,0.3713,0.7427,0.0,0.3713,0.3713,0.0,0.3713,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.272,0.2087,0.1479,0.272,0.2087,0.1479
0.0,0.0,0.4471,0.8943,0.0,0.4471,0.0,0.8943,0.4471,0.4471,0.8943,0.0,0.0,0.4471,0.0,1.3414,0.8943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.2225,0.2157,0.1146,0.2225,0.2157,0.1146
